date,CPI
2024-01-11,3.40%
2023-12-12,3.10%
2023-11-14,3.20%
2023-10-12,3.70%
2023-09-13,3.70%
2023-08-10,3.20%
2023-07-12,3.00%
2023-06-13,4.00%
2023-05-10,4.90%
2023-04-12,5.00%
2023-03-14,6.00%
2023-02-14,6.40%
2023-01-12,6.50%
2022-12-13,7.10%
2022-11-10,7.70%
2022-10-13,8.20%
2022-09-13,8.30%
2022-08-10,8.50%
2022-07-13,9.10%
2022-06-10,8.60%
2022-05-11,8.30%
2022-04-12,8.50%
2022-03-10,7.90%
2022-02-10,7.50%
2022-01-12,7.00%
2021-12-10,6.80%
2021-11-10,6.20%
2021-10-13,5.40%
2021-09-14,5.30%
2021-08-11,5.40%
2021-07-13,5.40%
2021-06-10,5.00%
2021-05-12,4.20%
2021-04-13,2.60%
2021-03-10,1.70%
2021-02-10,1.40%
2021-01-13,1.40%
2020-12-10,1.20%
2020-11-12,1.20%
2020-10-13,1.40%
2020-09-11,1.30%
2020-08-12,1.00%
2020-07-14,0.60%
2020-06-10,0.10%
2020-05-12,0.30%
2020-04-10,1.50%
2020-03-11,2.30%
2020-02-13,2.50%
2020-01-14,2.30%
,
,
,
,
,
,
,
,
,
,
,
,
