date,PPI
2024-01-12,1.00%
2023-12-13,0.90%
2023-11-15,1.30%
2023-10-11,2.20%
2023-09-14,1.60%
2023-08-11,0.80%
2023-07-13,0.10%
2023-06-14,1.10%
2023-05-11,2.30%
2023-04-13,2.70%
2023-03-15,4.60%
2023-02-16,6.00%
2023-01-18,6.20%
2022-12-09,7.40%
2022-11-15,8.00%
2022-10-12,8.50%
2022-09-14,8.70%
2022-08-11,9.80%
2022-07-14,11.30%
2022-06-14,10.80%
2022-05-12,11.00%
2022-04-13,11.20%
2022-03-15,10.00%
2022-02-15,9.70%
2022-01-13,9.70%
2021-12-14,9.60%
2021-11-09,8.60%
2021-10-14,8.60%
2021-09-10,8.30%
2021-08-12,7.80%
2021-07-14,7.30%
2021-06-15,6.60%
2021-05-13,6.20%
2021-04-09,4.20%
2021-03-12,2.80%
2021-02-17,1.70%
2021-01-15,0.80%
2020-12-11,0.80%
2020-11-13,0.50%
2020-10-14,0.40%
2020-09-10,-0.20%
2020-08-11,-0.40%
2020-07-10,-0.80%
2020-06-11,-0.80%
2020-05-13,-1.20%
2020-04-09,0.70%
2020-03-12,1.30%
2020-02-19,2.10%
2020-01-15,1.30%
