date,IR
2023-11-02,5.50%
2023-09-21,5.50%
2023-07-27,5.50%
2023-06-15,5.25%
2023-05-04,5.25%
2023-03-23,5.00%
2023-02-02,4.75%
2022-12-15,4.50%
2022-11-03,4.00%
2022-09-22,3.25%
2022-07-28,2.50%
2022-06-16,1.75%
2022-05-05,1.00%
2022-03-17,0.50%
2022-01-27,0.25%
2021-12-16,0.25%
2021-11-04,0.25%
2021-09-23,0.25%
2021-07-29,0.25%
2021-06-17,0.25%
2021-04-29,0.25%
2021-03-18,0.25%
2021-01-28,0.25%
2020-12-17,0.25%
2020-11-06,0.25%
2020-09-17,0.25%
2020-07-30,0.25%
2020-06-11,0.25%
2020-04-30,0.25%
2020-03-16,0.25%
2020-03-04,1.25%
2020-01-30,1.75%
,
,
,
,
,
,
,
,
